rank,name,usps,pop2021,pop2010,growth,aland_sqmi
1,New York City,NY,8230290,8190210,0.0049,300.381
2,Los Angeles,CA,3983540,3795510,0.0495,468.956
3,Chicago,IL,2679080,2697480,-0.0068,227.369
4,Houston,TX,2323660,2100280,0.1064,640.194
5,Phoenix,AZ,1733630,1449040,0.1964,517.673
6,Philadelphia,PA,1585010,1528280,0.0371,134.279
7,San Antonio,TX,1581730,1332300,0.1872,485.113
8,San Diego,CA,1427720,1305910,0.0933,325.877
9,Dallas,TX,1347120,1200350,0.1223,339.736
10,Austin,TX,1011790,806164,0.2551,319.939
11,San Jose,CA,1009340,954940,0.057,177.808
12,Fort Worth,TX,942323,748441,0.259,345.584
13,Jacksonville,FL,929647,823114,0.1294,747.467
14,Columbus,OH,913921,790943,0.1555,219.197
15,Charlotte,NC,912096,738444,0.2352,307.238
16,Indianapolis,IN,887232,821579,0.0799,361.571
17,San Francisco,CA,883255,805505,0.0965,46.903
18,Seattle,WA,776555,610630,0.2717,83.862
19,Denver,CO,749103,603359,0.2416,153.292
20,Washington,DC,714153,605226,0.18,61.136
21,Boston,MA,695506,621048,0.1199,48.339
22,El Paso,TX,685434,650671,0.0534,257.42
23,Nashville,TN,678448,604589,0.1222,475.543
24,Oklahoma City,OK,669347,582516,0.1491,606.445
25,Las Vegas,NV,667501,584576,0.1419,141.767
26,Detroit,MI,664139,711131,-0.0661,138.715
27,Portland,OR,662549,585429,0.1317,133.421
28,Memphis,TN,651011,652326,-0.002,317.357
29,Louisville,KY,615924,596482,0.0326,263.434
30,Milwaukee,WI,587721,594865,-0.012,96.184
31,Baltimore,MD,575584,620915,-0.073,80.947
32,Albuquerque,NM,562281,546755,0.0284,187.215
33,Tucson,AZ,554503,527160,0.0519,238.014
34,Mesa,AZ,538146,440993,0.2203,138.085
35,Fresno,CA,537100,497769,0.079,114.725
36,Sacramento,CA,525398,467286,0.1244,97.73
37,Atlanta,GA,524067,429410,0.2204,135.737
38,Kansas City,MO,501957,460697,0.0896,314.886
39,Colorado Springs,CO,489529,420685,0.1636,195
40,Raleigh,NC,483579,406353,0.19,145.886
41,Omaha,NE,479978,459659,0.0442,140.983
