brand,currency,description,fuel_type,item_condition,manufacturer,mileage_from_odometer,model_date,price,vehicle_engine,vehicle_transmission
MG,PKR,MG HS 2021 for sale in Lahore,Petrol,used,MG,"6,000 km",2021,6525000,1490cc,Automatic
Toyota,PKR,Toyota Aygo 2012 for sale in Islamabad,Petrol,used,Toyota,"68,000 km",2012,1625000,1000cc,Manual
Honda,PKR,Honda City 2015 for sale in Lahore,Petrol,used,Honda,"150,000 km",2015,2550000,1300cc,Automatic
KIA,PKR,KIA Sorento 2022 for sale in Sialkot,Petrol,used,KIA,"18,000 km",2022,9000000,3500cc,Automatic
Toyota,PKR,Toyota Corolla 2015 for sale in Rawalpindi,Petrol,used,Toyota,"110,000 km",2015,3350000,1300cc,Automatic
Nissan,PKR,Nissan March 2004 for sale in Karachi,Petrol,used,Nissan,"100,000 km",2004,1050000,1000cc,Automatic
Honda,PKR,Honda Civic 2021 for sale in Islamabad,Petrol,used,Honda,"20,500 km",2021,6275000,1800cc,Automatic
Suzuki,PKR,Suzuki Cultus 2008 for sale in Islamabad,Petrol,used,Suzuki,"25,025 km",2008,1025000,1000cc,Manual
Honda,PKR,Honda City 2018 for sale in Rawalpindi,Petrol,used,Honda,"88,000 km",2018,3150000,1300cc,Manual
Nissan,PKR,Nissan March 2004 for sale in Karachi,Petrol,used,Nissan,"100,000 km",2004,1050000,1000cc,Automatic
Honda,PKR,Honda Civic 2021 for sale in Islamabad,Petrol,used,Honda,"20,500 km",2021,6275000,1800cc,Automatic
Suzuki,PKR,Suzuki Cultus 2008 for sale in Islamabad,Petrol,used,Suzuki,"25,025 km",2008,1025000,1000cc,Manual
Honda,PKR,Honda City 2018 for sale in Rawalpindi,Petrol,used,Honda,"88,000 km",2018,3150000,1300cc,Manual
Honda,PKR,Honda Civic 2018 for sale in Rawalpindi,Petrol,used,Honda,"70,000 km",2018,4990000,1800cc,Automatic
Honda,PKR,Honda Civic 2004 for sale in Lahore,Petrol,used,Honda,"107,000 km",2004,1400000,1500cc,Manual
Honda,PKR,Honda Civic 2003 for sale in Rawalpindi,Petrol,used,Honda,"150,000 km",2003,1360000,1600cc,Manual
Suzuki,PKR,Suzuki Alto 2022 for sale in Lahore,Petrol,used,Suzuki,"21,000 km",2022,2180000,660cc,Manual
Toyota,PKR,Toyota Corolla 2010 for sale in Mian Channu,Petrol,used,Toyota,"82,000 km",2010,2450000,1300cc,Manual
Honda,PKR,Honda BR-V 2017 for sale in Islamabad,Petrol,used,Honda,"112,000 km",2017,3850000,1500cc,Automatic
Suzuki,PKR,Suzuki Wagon R 2018 for sale in Multan,Petrol,used,Suzuki,"23,000 km",2018,2250000,1000cc,Manual
Suzuki,PKR,Suzuki Mehran 2015 for sale in Islamabad,Petrol,used,Suzuki,"65,000 km",2015,1150000,800cc,Manual
Suzuki,PKR,Suzuki Alto 2012 for sale in Lahore,Petrol,used,Suzuki,"118,000 km",2012,1150000,1000cc,Manual
Toyota,PKR,Toyota Aqua 2015 for sale in Peshawar,Hybrid,used,Toyota,"119,200 km",2015,3900000,1500cc,Automatic
Honda,PKR,Honda City 2019 for sale in Lahore,Petrol,used,Honda,"43,000 km",2019,3800000,1500cc,Automatic
Mercedes Benz,PKR,Mercedes Benz E Class 2010 for sale in Wah cantt,Petrol,used,Mercedes Benz,"75,000 km",2010,9500000,2000cc,Automatic
Range Rover,PKR,Range Rover Evoque 2020 for sale in Islamabad,Petrol,used,Range Rover,"7,000 km",2020,60000000,300cc,Automatic
Toyota,PKR,Toyota Corolla 2013 for sale in Lahore,Petrol,used,Toyota,"180,000 km",2013,2500000,1300cc,Manual
Suzuki,PKR,Suzuki Alto 2022 for sale in Lahore,Petrol,used,Suzuki,"20,000 km",2022,2600000,660cc,Automatic
Daihatsu,PKR,Daihatsu Move 2014 for sale in Islamabad,Petrol,used,Daihatsu,1 km,2014,1950000,660cc,Automatic
Daihatsu,PKR,Daihatsu Mira 2013 for sale in Lahore,Petrol,used,Daihatsu,"50,000 km",2013,2150000,660cc,Automatic
Toyota,PKR,Toyota Vitz 2007 for sale in Islamabad,Petrol,used,Toyota,"175,000 km",2007,1580000,1000cc,Automatic
Honda,PKR,Honda Civic 1999 for sale in Lahore,Petrol,used,Honda,"220,000 km",1999,1125000,1600cc,Manual
Toyota,PKR,Toyota Prius 2010 for sale in Dera ismail khan,Petrol,used,Toyota,"80,000 km",2010,4300000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2013 for sale in Sargodha,Petrol,used,Toyota,"126,000 km",2013,265000,1300cc,Manual
Suzuki,PKR,Suzuki Cultus 2016 for sale in Lahore,Petrol,used,Suzuki,"71,000 km",2016,1680000,1000cc,Manual
Toyota,PKR,Toyota Hilux 2013 for sale in Quetta,Diesel,used,Toyota,"100,000 km",2013,5800000,2500cc,Automatic
Toyota,PKR,Toyota Passo 2018 for sale in Islamabad,Petrol,used,Toyota,"135,000 km",2018,3800000,1000cc,Automatic
Mercedes Benz,PKR,Mercedes Benz S Class 2014 for sale in Lahore,Petrol,used,Mercedes Benz,"39,500 km",2014,34000000,3500cc,Automatic
Toyota,PKR,Toyota Yaris 2021 for sale in Peshawar,Petrol,used,Toyota,"33,000 km",2021,4350000,1500cc,Automatic
Toyota,PKR,Toyota Corolla 2019 for sale in Faisalabad,Petrol,used,Toyota,"43,950 km",2019,4640000,1600cc,Automatic
MG,PKR,MG HS 2021 for sale in Lahore,Petrol,used,MG,"8,000 km",2021,6895000,1500cc,Automatic
Changan,PKR,Changan Alsvin 2021 for sale in Lahore,Petrol,used,Changan,"18,700 km",2021,3995000,1500cc,Automatic
BMW,PKR,BMW 3 Series 1997 for sale in Lahore,Petrol,used,BMW,"81,000 km",1997,1750000,1800cc,Automatic
Toyota,PKR,Toyota Prado 2010 for sale in Wah cantt,Petrol,used,Toyota,"125,000 km",2010,17000000,4000cc,Automatic
Toyota,PKR,Toyota Corolla 2023 for sale in Lahore,Petrol,used,Toyota,25 km,2023,7525000,1800cc,Automatic
