brand,fuel_type,model_date,price,vehicle_engine,vehicle_transmission,KM
MG,Petrol,2021,6525000,1490cc,Automatic,6000
Toyota,Petrol,2012,1625000,1000cc,Manual,68000
Honda,Petrol,2015,2550000,1300cc,Automatic,150000
KIA,Petrol,2022,9000000,3500cc,Automatic,18000
Toyota,Petrol,2015,3350000,1300cc,Automatic,110000
Nissan,Petrol,2004,1050000,1000cc,Automatic,100000
Honda,Petrol,2021,6275000,1800cc,Automatic,20500
Suzuki,Petrol,2008,1025000,1000cc,Manual,25025
Honda,Petrol,2018,3150000,1300cc,Manual,88000
Nissan,Petrol,2004,1050000,1000cc,Automatic,100000
Honda,Petrol,2021,6275000,1800cc,Automatic,20500
Suzuki,Petrol,2008,1025000,1000cc,Manual,25025
Honda,Petrol,2018,3150000,1300cc,Manual,88000
Honda,Petrol,2018,4990000,1800cc,Automatic,70000
Honda,Petrol,2004,1400000,1500cc,Manual,107000
Honda,Petrol,2003,1360000,1600cc,Manual,150000
Suzuki,Petrol,2022,2180000,660cc,Manual,21000
Toyota,Petrol,2010,2450000,1300cc,Manual,82000
Honda,Petrol,2017,3850000,1500cc,Automatic,112000
Suzuki,Petrol,2018,2250000,1000cc,Manual,23000
Suzuki,Petrol,2015,1150000,800cc,Manual,65000
Suzuki,Petrol,2012,1150000,1000cc,Manual,118000
Toyota,Hybrid,2015,3900000,1500cc,Automatic,119200
Honda,Petrol,2019,3800000,1500cc,Automatic,43000
Mercedes Benz,Petrol,2010,9500000,2000cc,Automatic,75000
Range Rover,Petrol,2020,60000000,300cc,Automatic,7000
Toyota,Petrol,2013,2500000,1300cc,Manual,180000
Suzuki,Petrol,2022,2600000,660cc,Automatic,20000
Daihatsu,Petrol,2014,1950000,660cc,Automatic,1
Daihatsu,Petrol,2013,2150000,660cc,Automatic,50000
Toyota,Petrol,2007,1580000,1000cc,Automatic,175000
Honda,Petrol,1999,1125000,1600cc,Manual,220000
Toyota,Petrol,2010,4300000,1800cc,Automatic,80000
Toyota,Petrol,2013,265000,1300cc,Manual,126000
Suzuki,Petrol,2016,1680000,1000cc,Manual,71000
Toyota,Diesel,2013,5800000,2500cc,Automatic,100000
Toyota,Petrol,2018,3800000,1000cc,Automatic,135000
Mercedes Benz,Petrol,2014,34000000,3500cc,Automatic,39500
Toyota,Petrol,2021,4350000,1500cc,Automatic,33000
Toyota,Petrol,2019,4640000,1600cc,Automatic,43950
MG,Petrol,2021,6895000,1500cc,Automatic,8000
Changan,Petrol,2021,3995000,1500cc,Automatic,18700
BMW,Petrol,1997,1750000,1800cc,Automatic,81000
Toyota,Petrol,2010,17000000,4000cc,Automatic,125000
Toyota,Petrol,2023,7525000,1800cc,Automatic,25
Toyota,Petrol,2014,2625000,1000cc,Automatic,134000
Toyota,Petrol,2021,3800000,1300cc,Manual,19500
Toyota,Petrol,2016,3200000,1600cc,Automatic,77300
Honda,Petrol,2020,4700000,1500cc,Automatic,148000
KIA,Petrol,2022,9000000,3500cc,Automatic,18000
Suzuki,Petrol,2017,1585000,1000cc,Manual,150000
Honda,Petrol,2022,5000000,1500cc,Automatic,14000
Toyota,Petrol,2019,4650000,1300cc,Automatic,27855
Toyota,Petrol,2015,3350000,1300cc,Automatic,110000
Honda,Petrol,2023,7450000,1500cc,Automatic,45
Honda,Petrol,2016,2730000,1300cc,Manual,60000
Toyota,Petrol,2001,1170000,1300cc,Manual,200000
Suzuki,Petrol,2015,1170000,1000cc,Manual,60000
Honda,Hybrid,2012,2450000,1500cc,Automatic,123000
Suzuki,Petrol,2011,1080000,1000cc,Manual,43900
Toyota,Petrol,2022,7375000,1800cc,Automatic,6350
Honda,Petrol,2021,4950000,1500cc,Automatic,14000
Nissan,Petrol,2004,1050000,1000cc,Automatic,100000
Daihatsu,Petrol,1985,200000,1000cc,Manual,82255
Honda,Petrol,2021,6275000,1800cc,Automatic,20500
Suzuki,Petrol,2008,1025000,1000cc,Manual,25025
Toyota,Petrol,2013,2500000,1000cc,Automatic,91000
Toyota,Petrol,2023,6450000,1600cc,Automatic,10
MG,Petrol,2021,6150000,1500cc,Automatic,17000
Honda,Petrol,2019,3120000,1300cc,Manual,45286
Suzuki,Petrol,2013,1080000,800cc,Manual,60000
Honda,Petrol,2012,2425000,1300cc,Manual,67000
Honda,Petrol,1999,1315000,1600cc,Manual,115000
Suzuki,Petrol,2018,1260000,800cc,Manual,60000
Hyundai,Petrol,2023,7850000,2000cc,Automatic,10
Mazda,Petrol,2019,3175000,660cc,Automatic,32000
Toyota,Petrol,2016,3050000,1300cc,Automatic,84000
Honda,Petrol,2023,5490000,1500cc,Automatic,60
Toyota,Petrol,2011,11000000,3500cc,Automatic,76000
Toyota,Petrol,2010,7500000,2500cc,Automatic,72000
Toyota,Petrol,2016,4800000,1500cc,Automatic,54000
Suzuki,Hybrid,2018,3150000,660cc,Automatic,36000
Honda,Petrol,2023,7525000,1500cc,Automatic,1
Honda,Petrol,2008,2050000,1300cc,Automatic,78000
Toyota,Petrol,2018,3600000,1600cc,Automatic,71091
Nissan,Diesel,1987,700000,2000cc,Manual,1987
Toyota,Petrol,2016,3150000,1300cc,Manual,85000
Daihatsu,Petrol,1984,425000,1000cc,Manual,65000
Suzuki,Petrol,2010,120000,1000cc,Manual,80000
Toyota,Petrol,2022,6500000,1600cc,Automatic,99
Suzuki,Petrol,2000,515000,1000cc,Manual,75000
Toyota,Petrol,2011,2300000,1300cc,Manual,96200
Haval,Petrol,2023,10500000,2000cc,Automatic,85
Honda,Petrol,2018,3150000,1300cc,Manual,88000
