brand,model_date,price,vehicle_engine,vehicle_transmission,KM,fuel_code
MG,2021,6525000,1490cc,Automatic,6000,6
Toyota,2012,1625000,1000cc,Manual,68000,6
Honda,2015,2550000,1300cc,Automatic,150000,6
KIA,2022,9000000,3500cc,Automatic,18000,6
Toyota,2015,3350000,1300cc,Automatic,110000,6
Nissan,2004,1050000,1000cc,Automatic,100000,6
Honda,2021,6275000,1800cc,Automatic,20500,6
Suzuki,2008,1025000,1000cc,Manual,25025,6
Honda,2018,3150000,1300cc,Manual,88000,6
Nissan,2004,1050000,1000cc,Automatic,100000,6
Honda,2021,6275000,1800cc,Automatic,20500,6
Suzuki,2008,1025000,1000cc,Manual,25025,6
Honda,2018,3150000,1300cc,Manual,88000,6
Honda,2018,4990000,1800cc,Automatic,70000,6
Honda,2004,1400000,1500cc,Manual,107000,6
Honda,2003,1360000,1600cc,Manual,150000,6
Suzuki,2022,2180000,660cc,Manual,21000,6
Toyota,2010,2450000,1300cc,Manual,82000,6
Honda,2017,3850000,1500cc,Automatic,112000,6
Suzuki,2018,2250000,1000cc,Manual,23000,6
Suzuki,2015,1150000,800cc,Manual,65000,6
Suzuki,2012,1150000,1000cc,Manual,118000,6
Toyota,2015,3900000,1500cc,Automatic,119200,2
Honda,2019,3800000,1500cc,Automatic,43000,6
Mercedes Benz,2010,9500000,2000cc,Automatic,75000,6
Range Rover,2020,60000000,300cc,Automatic,7000,6
Toyota,2013,2500000,1300cc,Manual,180000,6
Suzuki,2022,2600000,660cc,Automatic,20000,6
Daihatsu,2014,1950000,660cc,Automatic,1,6
Daihatsu,2013,2150000,660cc,Automatic,50000,6
Toyota,2007,1580000,1000cc,Automatic,175000,6
Honda,1999,1125000,1600cc,Manual,220000,6
Toyota,2010,4300000,1800cc,Automatic,80000,6
Toyota,2013,265000,1300cc,Manual,126000,6
Suzuki,2016,1680000,1000cc,Manual,71000,6
Toyota,2013,5800000,2500cc,Automatic,100000,1
Toyota,2018,3800000,1000cc,Automatic,135000,6
Mercedes Benz,2014,34000000,3500cc,Automatic,39500,6
Toyota,2021,4350000,1500cc,Automatic,33000,6
Toyota,2019,4640000,1600cc,Automatic,43950,6
MG,2021,6895000,1500cc,Automatic,8000,6
Changan,2021,3995000,1500cc,Automatic,18700,6
BMW,1997,1750000,1800cc,Automatic,81000,6
Toyota,2010,17000000,4000cc,Automatic,125000,6
Toyota,2023,7525000,1800cc,Automatic,25,6
Toyota,2014,2625000,1000cc,Automatic,134000,6
Toyota,2021,3800000,1300cc,Manual,19500,6
Toyota,2016,3200000,1600cc,Automatic,77300,6
Honda,2020,4700000,1500cc,Automatic,148000,6
KIA,2022,9000000,3500cc,Automatic,18000,6
Suzuki,2017,1585000,1000cc,Manual,150000,6
Honda,2022,5000000,1500cc,Automatic,14000,6
Toyota,2019,4650000,1300cc,Automatic,27855,6
Toyota,2015,3350000,1300cc,Automatic,110000,6
Honda,2023,7450000,1500cc,Automatic,45,6
Honda,2016,2730000,1300cc,Manual,60000,6
Toyota,2001,1170000,1300cc,Manual,200000,6
Suzuki,2015,1170000,1000cc,Manual,60000,6
Honda,2012,2450000,1500cc,Automatic,123000,2
Suzuki,2011,1080000,1000cc,Manual,43900,6
Toyota,2022,7375000,1800cc,Automatic,6350,6
Honda,2021,4950000,1500cc,Automatic,14000,6
Nissan,2004,1050000,1000cc,Automatic,100000,6
Daihatsu,1985,200000,1000cc,Manual,82255,6
Honda,2021,6275000,1800cc,Automatic,20500,6
Suzuki,2008,1025000,1000cc,Manual,25025,6
Toyota,2013,2500000,1000cc,Automatic,91000,6
Toyota,2023,6450000,1600cc,Automatic,10,6
MG,2021,6150000,1500cc,Automatic,17000,6
Honda,2019,3120000,1300cc,Manual,45286,6
Suzuki,2013,1080000,800cc,Manual,60000,6
Honda,2012,2425000,1300cc,Manual,67000,6
Honda,1999,1315000,1600cc,Manual,115000,6
Suzuki,2018,1260000,800cc,Manual,60000,6
Hyundai,2023,7850000,2000cc,Automatic,10,6
Mazda,2019,3175000,660cc,Automatic,32000,6
Toyota,2016,3050000,1300cc,Automatic,84000,6
Honda,2023,5490000,1500cc,Automatic,60,6
Toyota,2011,11000000,3500cc,Automatic,76000,6
Toyota,2010,7500000,2500cc,Automatic,72000,6
Toyota,2016,4800000,1500cc,Automatic,54000,6
Suzuki,2018,3150000,660cc,Automatic,36000,2
Honda,2023,7525000,1500cc,Automatic,1,6
Honda,2008,2050000,1300cc,Automatic,78000,6
Toyota,2018,3600000,1600cc,Automatic,71091,6
Nissan,1987,700000,2000cc,Manual,1987,1
Toyota,2016,3150000,1300cc,Manual,85000,6
Daihatsu,1984,425000,1000cc,Manual,65000,6
